Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Body mass index,Absenteeism time in hours
4,6,260,50,11,36,"239,409",98,0,1,4,1,0,23,4
4,2,179,51,18,38,"239,409",98,0,1,0,1,0,31,4
4,4,118,10,10,37,"239,409",98,0,1,0,0,0,28,2
5,2,235,20,13,43,"246,074",99,0,1,1,1,0,38,16
5,4,248,25,14,47,"246,074",99,0,1,2,0,0,32,2
5,2,369,17,12,31,"246,074",99,0,1,3,1,0,25,8
5,4,179,26,9,30,"246,074",99,0,3,0,0,0,19,3
5,4,179,51,18,38,"246,074",99,0,1,0,1,0,31,4
5,5,361,52,3,28,"246,074",99,0,1,1,1,0,27,1
5,6,260,50,11,36,"246,074",99,0,1,4,1,0,23,3
5,2,179,22,17,40,"246,074",99,0,2,2,0,1,22,2
5,2,179,22,17,40,"246,074",99,0,2,2,0,1,22,3
5,4,228,14,16,58,"246,074",99,0,1,2,0,0,22,8
5,4,225,26,9,28,"246,074",99,0,1,1,0,0,24,3
5,6,330,16,4,28,"246,074",99,0,2,0,0,0,25,8
5,2,179,26,9,30,"246,074",99,0,3,0,0,0,19,2
5,2,118,10,10,37,"246,074",99,0,1,0,0,0,28,1
5,2,235,11,14,37,"246,074",99,0,3,1,0,0,29,8
5,4,179,26,9,30,"246,074",99,0,3,0,0,0,19,3
6,2,118,10,10,37,"253,957",95,0,1,0,0,0,28,3
6,2,179,51,18,38,"253,957",95,0,1,0,1,0,31,3
6,3,118,10,10,37,"253,957",95,0,1,0,0,0,28,2
6,5,225,26,9,28,"253,957",95,0,1,1,0,0,24,4
6,6,260,50,11,36,"253,957",95,0,1,4,1,0,23,4
6,6,179,51,18,38,"253,957",95,1,1,0,1,0,31,0
6,2,291,31,12,40,"253,957",95,0,1,1,1,0,25,40
6,2,179,51,18,38,"253,957",95,0,1,0,1,0,31,24
6,3,246,25,16,41,"253,957",95,0,1,0,1,0,23,3
6,2,179,51,18,38,"253,957",95,0,1,0,1,0,31,4
6,3,235,20,13,43,"253,957",95,0,1,1,1,0,38,8
6,2,179,51,18,38,"253,957",95,0,1,0,1,0,31,2
6,4,225,26,9,28,"253,957",95,0,1,1,0,0,24,2
6,4,118,13,18,50,"253,957",95,0,1,1,1,0,31,2
6,4,179,51,18,38,"253,957",95,0,1,0,1,0,31,8
6,4,179,26,9,30,"253,957",95,0,3,0,0,0,19,2
6,6,246,25,16,41,"253,957",95,0,1,0,1,0,23,2
6,3,330,16,4,28,"253,957",95,0,2,0,0,0,25,1
6,3,235,11,14,37,"253,957",95,0,3,1,0,0,29,8
7,5,179,26,9,30,"230,290",92,0,3,0,0,0,19,2
7,5,225,26,9,28,"230,290",92,0,1,1,0,0,24,4
7,6,260,50,11,36,"230,290",92,0,1,4,1,0,23,8
7,2,268,11,8,33,"230,290",92,0,2,0,0,0,25,8
7,6,330,16,4,28,"230,290",92,0,2,0,0,0,25,8
7,6,118,10,10,37,"230,290",92,0,1,0,0,0,28,8
7,2,260,50,11,36,"230,290",92,0,1,4,1,0,23,4
7,3,118,10,10,37,"230,290",92,0,1,0,0,0,28,8
7,2,300,26,13,43,"230,290",92,0,1,2,1,1,25,8
7,2,235,29,12,48,"230,290",92,0,1,1,0,1,33,1
7,3,246,25,16,41,"230,290",92,0,1,0,1,0,23,2
7,3,225,26,9,28,"230,290",92,0,1,1,0,0,24,112
7,3,179,51,18,38,"230,290",92,0,1,0,1,0,31,1
7,6,118,13,18,50,"230,290",92,0,1,1,1,0,31,1
7,6,361,52,3,28,"230,290",92,0,1,1,1,0,27,8
7,2,289,36,13,33,"230,290",92,0,1,2,1,0,30,8
7,2,235,20,13,43,"230,290",92,0,1,1,1,0,38,8
7,3,246,25,16,41,"230,290",92,0,1,0,1,0,23,2
7,5,291,31,12,40,"230,290",92,0,1,1,1,0,25,1
7,5,279,5,14,39,"230,290",92,0,1,2,1,1,24,2
8,5,179,51,18,38,"249,797",93,0,1,0,1,0,31,4
8,2,179,22,17,40,"249,797",93,0,2,2,0,1,22,1
8,3,246,25,16,41,"249,797",93,0,1,0,1,0,23,4
8,3,118,10,10,37,"249,797",93,0,1,0,0,0,28,4
8,3,289,36,13,33,"249,797",93,0,1,2,1,0,30,8
8,3,235,20,13,43,"249,797",93,0,1,1,1,0,38,8
8,5,291,31,12,40,"249,797",93,0,1,1,1,0,25,4
8,2,179,51,18,38,"249,797",93,0,1,0,1,0,31,4
8,3,179,22,17,40,"249,797",93,0,2,2,0,1,22,8
8,5,330,16,4,28,"249,797",93,0,2,0,0,0,25,16
8,3,235,11,14,37,"249,797",93,0,3,1,0,0,29,4
8,3,246,25,16,41,"249,797",93,0,1,0,1,0,23,1
8,3,118,10,10,37,"249,797",93,0,1,0,0,0,28,5
8,5,291,31,12,40,"249,797",93,0,1,1,1,0,25,2
8,2,260,50,11,36,"249,797",93,0,1,4,1,0,23,3
9,3,246,25,16,41,"261,756",87,0,1,0,1,0,23,1
9,3,246,25,16,41,"261,756",87,0,1,0,1,0,23,1
9,3,118,10,10,37,"261,756",87,0,1,0,0,0,28,3
9,3,155,12,14,34,"261,756",87,0,1,2,1,0,25,2
9,5,291,31,12,40,"261,756",87,0,1,1,1,0,25,2
9,6,179,26,9,30,"261,756",87,0,3,0,0,0,19,8
9,6,248,25,14,47,"261,756",87,0,1,2,0,0,32,1
9,2,179,51,18,38,"261,756",87,0,1,0,1,0,31,4
9,4,225,26,9,28,"261,756",87,0,1,1,0,0,24,1
9,2,179,26,9,30,"261,756",87,0,3,0,0,0,19,2
9,3,369,17,12,31,"261,756",87,0,1,3,1,0,25,8
9,3,361,52,3,28,"261,756",87,0,1,1,1,0,27,8
10,5,289,48,29,49,"284,853",91,0,1,0,0,0,36,1
10,5,235,16,8,32,"284,853",91,0,3,0,0,0,25,3
10,6,246,25,16,41,"284,853",91,0,1,0,1,0,23,8
10,4,289,48,29,49,"284,853",91,0,1,0,0,0,36,3
10,4,291,31,12,40,"284,853",91,0,1,1,1,0,25,2
10,3,118,10,10,37,"284,853",91,0,1,0,0,0,28,2
10,5,289,48,29,49,"284,853",91,0,1,0,0,0,36,2
10,6,291,31,12,40,"284,853",91,0,1,1,1,0,25,1
10,3,225,26,9,28,"284,853",91,0,1,1,0,0,24,2
10,3,369,17,12,31,"284,853",91,0,1,3,1,0,25,8
10,3,369,17,12,31,"284,853",91,0,1,3,1,0,25,3
10,3,225,26,9,28,"284,853",91,0,1,1,0,0,24,4
10,3,369,17,12,31,"284,853",91,0,1,3,1,0,25,8
10,4,179,51,18,38,"284,853",91,0,1,0,1,0,31,3
10,4,228,14,16,58,"284,853",91,0,1,2,0,0,22,1
10,4,291,31,12,40,"284,853",91,0,1,1,1,0,25,1
10,5,369,17,12,31,"284,853",91,0,1,3,1,0,25,8
10,5,225,26,9,28,"284,853",91,0,1,1,0,0,24,1
10,6,369,17,12,31,"284,853",91,0,1,3,1,0,25,8
10,6,225,26,9,28,"284,853",91,0,1,1,0,0,24,3
10,2,189,29,13,33,"284,853",91,0,1,2,0,0,25,8
10,2,235,16,8,32,"284,853",91,0,3,0,0,0,25,8
10,2,248,25,14,47,"284,853",91,0,1,2,0,0,32,8
10,2,225,26,9,28,"284,853",91,1,1,1,0,0,24,0
10,3,225,26,9,28,"284,853",91,0,1,1,0,0,24,3
11,3,179,51,18,38,"268,519",93,0,1,0,1,0,31,1
11,4,118,10,10,37,"268,519",93,0,1,0,0,0,28,3
11,4,330,16,4,28,"268,519",93,0,2,0,0,0,25,24
11,6,179,51,18,38,"268,519",93,0,1,0,1,0,31,1
11,3,118,10,10,37,"268,519",93,0,1,0,0,0,28,8
11,4,289,36,13,33,"268,519",93,0,1,2,1,0,30,8
11,6,235,16,8,32,"268,519",93,0,3,0,0,0,25,8
11,6,225,26,9,28,"268,519",93,0,1,1,0,0,24,4
11,3,361,52,3,28,"268,519",93,0,1,1,1,0,27,8
11,4,291,31,12,40,"268,519",93,0,1,1,1,0,25,2
11,5,118,10,10,37,"268,519",93,0,1,0,0,0,28,2
11,5,225,26,9,28,"268,519",93,0,1,1,0,0,24,3
11,2,179,51,18,38,"268,519",93,0,1,0,1,0,31,1
11,2,118,10,10,37,"268,519",93,0,1,0,0,0,28,8
11,3,118,10,10,37,"268,519",93,0,1,0,0,0,28,8
11,3,225,26,9,28,"268,519",93,0,1,1,0,0,24,2
11,3,291,31,12,40,"268,519",93,1,1,1,1,0,25,0
11,4,289,36,13,33,"268,519",93,1,1,2,1,0,30,0
11,5,248,25,14,47,"268,519",93,0,1,2,0,0,32,4
11,5,235,20,13,43,"268,519",93,1,1,1,1,0,38,
11,6,225,26,9,28,"268,519",93,0,1,1,0,0,24,
11,6,369,17,12,31,"268,519",93,0,1,3,1,0,25,
11,2,361,52,3,28,"268,519",93,0,1,1,1,0,27,2
12,3,179,51,18,38,"280,549",98,0,1,0,1,0,31,
12,4,291,31,12,40,"280,549",98,0,1,1,1,0,25,1
12,4,225,26,9,28,"280,549",98,0,1,1,0,0,24,3
12,6,179,26,9,30,"280,549",98,0,3,0,0,0,19,1
12,6,225,26,9,28,"280,549",98,0,1,1,0,0,24,3
12,4,225,26,9,28,"280,549",98,0,1,1,0,0,24,3
12,5,361,52,3,28,"280,549",98,0,1,1,1,0,27,4
12,6,179,22,17,40,"280,549",98,0,2,2,0,1,22,2
12,6,235,20,13,43,"280,549",98,0,1,1,1,0,38,8
12,2,233,51,1,31,"280,549",98,0,2,1,1,0,21,8
12,3,179,26,9,30,"280,549",98,0,3,0,0,0,19,16
12,3,225,26,9,28,"280,549",98,0,1,1,0,0,24,2
12,5,225,26,9,28,"280,549",98,0,1,1,0,0,24,3
12,2,225,26,9,28,"280,549",98,0,1,1,0,0,24,2
12,3,155,12,14,34,"280,549",98,0,1,2,1,0,25,80
1,2,179,26,9,30,"313,532",96,0,3,0,0,0,19,24
1,5,179,26,9,30,"313,532",96,0,3,0,0,0,19,16
1,5,179,22,17,40,"313,532",96,0,2,2,0,1,22,2
1,6,179,22,17,40,"313,532",96,0,2,2,0,1,22,2
1,2,179,26,9,30,"313,532",96,0,3,0,0,0,19,3
1,4,179,22,17,40,"313,532",96,0,2,2,0,1,22,2
1,5,289,48,29,49,"313,532",96,0,1,0,0,0,36,8
1,6,179,22,17,40,"313,532",96,0,2,2,0,1,22,3
1,2,179,26,9,30,"313,532",96,0,3,0,0,0,19,2
1,3,155,12,14,34,"313,532",96,0,1,2,1,0,25,8
1,4,179,26,9,30,"313,532",96,0,3,0,0,0,19,2
1,4,179,51,18,38,"313,532",96,0,1,0,1,0,31,3
1,4,289,36,13,33,"313,532",96,0,1,2,1,0,30,8
1,5,179,51,18,38,"313,532",96,0,1,0,1,0,31,3
1,6,179,51,18,38,"313,532",96,0,1,0,1,0,31,2
2,3,179,51,18,38,"264,249",97,0,1,0,1,0,31,8
2,3,225,26,9,28,"264,249",97,0,1,1,0,0,24,3
2,4,248,25,14,47,"264,249",97,0,1,2,0,0,32,8
2,4,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,5,225,26,9,28,"264,249",97,0,1,1,0,0,24,3
2,5,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,5,179,26,9,30,"264,249",97,0,3,0,0,0,19,2
2,6,225,15,15,41,"264,249",97,0,4,2,1,0,28,2
2,6,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,2,233,51,1,31,"264,249",97,0,2,1,1,0,21,2
2,2,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,3,225,26,9,28,"264,249",97,0,1,1,0,0,24,8
2,4,179,51,18,38,"264,249",97,0,1,0,1,0,31,3
2,5,179,51,18,38,"264,249",97,0,1,0,1,0,31,3
2,5,225,26,9,28,"264,249",97,0,1,1,0,0,24,3
2,5,179,26,9,30,"264,249",97,0,3,0,0,0,19,2
2,6,179,22,17,40,"264,249",97,0,2,2,0,1,22,2
2,6,179,51,18,38,"264,249",97,0,1,0,1,0,31,3
2,4,233,51,1,31,"264,249",97,0,2,1,1,0,21,3
2,4,179,26,9,30,"264,249",97,0,3,0,0,0,19,2
2,4,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,5,179,51,18,38,"264,249",97,0,1,0,1,0,31,8
2,6,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,2,155,12,14,34,"264,249",97,0,1,2,1,0,25,5
2,2,235,16,8,32,"264,249",97,0,3,0,0,0,25,3
2,2,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,2,225,26,9,28,"264,249",97,0,1,1,0,0,24,2
2,3,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,3,248,25,14,47,"264,249",97,0,1,2,0,0,32,2
2,3,225,26,9,28,"264,249",97,0,1,1,0,0,24,2
2,4,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,5,179,51,18,38,"264,249",97,0,1,0,1,0,31,2
2,6,235,16,8,32,"264,249",97,0,3,0,0,0,25,2
3,2,179,51,18,38,"222,196",99,0,1,0,1,0,31,2
3,2,248,25,14,47,"222,196",99,0,1,2,0,0,32,2
3,3,228,14,16,58,"222,196",99,0,1,2,0,0,22,3
3,3,248,25,14,47,"222,196",99,0,1,2,0,0,32,3
3,3,228,14,16,58,"222,196",99,0,1,2,0,0,22,112
3,4,179,51,18,38,"222,196",99,0,1,0,1,0,31,2
3,5,225,26,9,28,"222,196",99,0,1,1,0,0,24,2
3,5,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,5,225,26,9,28,"222,196",99,0,1,1,0,0,24,2
3,6,179,26,9,30,"222,196",99,0,3,0,0,0,19,3
3,2,235,16,8,32,"222,196",99,0,3,0,0,0,25,3
3,2,361,52,3,28,"222,196",99,0,1,1,1,0,27,8
3,3,179,51,18,38,"222,196",99,0,1,0,1,0,31,8
3,4,179,51,18,38,"222,196",99,0,1,0,1,0,31,2
3,5,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,6,179,26,9,30,"222,196",99,0,3,0,0,0,19,2
3,2,179,51,18,38,"222,196",99,0,1,0,1,0,31,4
3,2,248,25,14,47,"222,196",99,0,1,2,0,0,32,2
3,2,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,2,225,26,9,28,"222,196",99,0,1,1,0,0,24,8
3,3,179,51,18,38,"222,196",99,0,1,0,1,0,31,2
3,4,289,36,13,33,"222,196",99,0,1,2,1,0,30,8
3,4,228,14,16,58,"222,196",99,0,1,2,0,0,22,2
3,4,179,51,18,38,"222,196",99,0,1,0,1,0,31,2
3,5,248,25,14,47,"222,196",99,0,1,2,0,0,32,3
3,5,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,6,179,26,9,30,"222,196",99,0,3,0,0,0,19,2
3,6,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,3,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,4,118,15,24,46,"222,196",99,0,1,2,1,1,25,8
3,4,155,12,14,34,"222,196",99,0,1,2,1,0,25,24
3,4,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,5,179,51,18,38,"222,196",99,0,1,0,1,0,31,3
3,2,179,26,9,30,"222,196",99,0,3,0,0,0,19,2
3,2,289,36,13,33,"222,196",99,0,1,2,1,0,30,104
3,4,369,17,12,31,"222,196",99,0,1,3,1,0,25,8
4,2,225,26,9,28,"246,288",91,0,1,1,0,0,24,8
4,2,118,10,10,37,"246,288",91,0,1,0,0,0,28,8
4,3,361,52,3,28,"246,288",91,0,1,1,1,0,27,8
4,4,248,25,14,47,"246,288",91,0,1,2,0,0,32,8
4,5,189,29,13,33,"246,288",91,0,1,2,0,0,25,8
4,6,179,26,9,30,"246,288",91,0,3,0,0,0,19,2
4,2,369,17,12,31,"246,288",91,0,1,3,1,0,25,24
4,3,179,22,17,40,"246,288",91,0,2,2,0,1,22,2
4,3,118,13,18,50,"246,288",91,0,1,1,1,0,31,3
4,3,361,52,3,28,"246,288",91,0,1,1,1,0,27,2
4,4,118,10,10,37,"246,288",91,0,1,0,0,0,28,2
4,6,235,11,14,37,"246,288",91,0,3,1,0,0,29,8
4,6,179,26,9,30,"246,288",91,0,3,0,0,0,19,2
4,2,225,26,9,28,"246,288",91,0,1,1,0,0,24,8
4,3,235,16,8,32,"246,288",91,0,3,0,0,0,25,3
4,6,179,26,9,30,"246,288",91,0,3,0,0,0,19,2
4,3,155,12,14,34,"246,288",91,0,1,2,1,0,25,4
4,5,225,26,9,28,"246,288",91,0,1,1,0,0,24,8
4,5,118,13,18,50,"246,288",91,0,1,1,1,0,31,2
4,6,179,26,9,30,"246,288",91,0,3,0,0,0,19,2
5,2,235,11,14,37,"237,656",99,0,3,1,0,0,29,8
5,4,225,15,15,41,"237,656",99,0,4,2,1,0,28,3
5,4,235,16,8,32,"237,656",99,0,3,0,0,0,25,2
5,4,118,10,10,37,"237,656",99,0,1,0,0,0,28,3
5,4,235,20,13,43,"237,656",99,0,1,1,1,0,38,8
5,5,179,26,9,30,"237,656",99,0,3,0,0,0,19,1
5,5,291,31,12,40,"237,656",99,0,1,1,1,0,25,2
5,5,225,15,15,41,"237,656",99,0,4,2,1,0,28,8
5,6,300,26,13,43,"237,656",99,0,1,2,1,1,25,64
5,6,225,15,15,41,"237,656",99,0,4,2,1,0,28,8
5,6,179,26,9,30,"237,656",99,0,3,0,0,0,19,2
5,2,118,13,18,50,"237,656",99,0,1,1,1,0,31,2
5,3,118,13,18,50,"237,656",99,0,1,1,1,0,31,3
5,3,118,10,10,37,"237,656",99,0,1,0,0,0,28,1
5,3,118,13,18,50,"237,656",99,1,1,1,1,0,31,0
5,4,179,26,9,30,"237,656",99,0,3,0,0,0,19,2
5,4,378,49,11,36,"237,656",99,1,1,2,0,1,21,0
5,6,179,22,17,40,"237,656",99,0,2,2,0,1,22,1
5,2,155,12,14,34,"237,656",99,0,1,2,1,0,25,48
5,2,235,16,8,32,"237,656",99,0,3,0,0,0,25,8
5,4,291,31,12,40,"237,656",99,0,1,1,1,0,25,8
5,4,179,22,17,40,"237,656",99,0,2,2,0,1,22,8
5,4,225,26,9,28,"237,656",99,0,1,1,0,0,24,3
5,5,330,16,4,28,"237,656",99,0,2,0,0,0,25,8
5,5,235,16,8,32,"237,656",99,0,3,0,0,0,25,2
5,5,291,31,12,40,"237,656",99,0,1,1,1,0,25,2
5,6,179,26,9,30,"237,656",99,0,3,0,0,0,19,2
5,2,361,52,3,28,"237,656",99,0,1,1,1,0,27,8
5,4,155,12,14,34,"237,656",99,0,1,2,1,0,25,2
5,6,179,22,17,40,"237,656",99,0,2,2,0,1,22,8
5,6,155,12,14,34,"237,656",99,0,1,2,1,0,25,8
5,2,225,26,9,28,"237,656",99,0,1,1,0,0,24,1
6,4,118,15,24,46,"275,089",96,0,1,2,1,1,25,8
6,4,179,26,9,30,"275,089",96,0,3,0,0,0,19,3
6,6,118,10,10,37,"275,089",96,0,1,0,0,0,28,8
6,4,118,10,10,37,"275,089",96,0,1,0,0,0,28,8
6,5,378,49,11,36,"275,089",96,0,1,2,0,1,21,8
6,5,118,13,18,50,"275,089",96,0,1,1,1,0,31,24
6,6,233,51,1,31,"275,089",96,0,2,1,1,0,21,8
6,6,179,26,9,30,"275,089",96,0,3,0,0,0,19,2
6,2,235,29,12,48,"275,089",96,1,1,1,0,1,33,0
6,2,268,11,8,33,"275,089",96,1,2,0,0,0,25,0
6,5,118,13,18,50,"275,089",96,0,1,1,1,0,31,3
6,5,179,26,9,30,"275,089",96,0,3,0,0,0,19,2
6,5,291,31,12,40,"275,089",96,0,1,1,1,0,25,2
6,2,179,26,9,30,"275,089",96,0,3,0,0,0,19,3
6,2,118,10,10,37,"275,089",96,0,1,0,0,0,28,3
6,5,233,51,1,31,"275,089",96,0,2,1,1,0,21,8
6,6,118,10,10,37,"275,089",96,0,1,0,0,0,28,2
6,4,118,10,10,37,"275,089",96,0,1,0,0,0,28,3
6,4,233,51,1,31,"275,089",96,0,2,1,1,0,21,3
7,4,235,20,13,43,"264,604",93,0,1,1,1,0,38,4
7,6,233,51,1,31,"264,604",93,0,2,1,1,0,21,2
7,2,228,14,16,58,"264,604",93,0,1,2,0,0,22,8
7,2,118,10,10,37,"264,604",93,0,1,0,0,0,28,4
7,3,228,14,16,58,"264,604",93,0,1,2,0,0,22,120
7,3,189,29,13,33,"264,604",93,0,1,2,0,0,25,16
7,4,118,10,10,37,"264,604",93,0,1,0,0,0,28,2
7,4,361,52,3,28,"264,604",93,0,1,1,1,0,27,8
7,4,225,26,9,28,"264,604",93,0,1,1,0,0,24,8
7,2,369,17,12,31,"264,604",93,0,1,3,1,0,25,80
7,3,289,36,13,33,"264,604",93,0,1,2,1,0,30,8
7,3,235,11,14,37,"264,604",93,0,3,1,0,0,29,4
0,3,118,14,13,40,"271,219",95,0,1,1,1,0,34,0
0,4,231,35,14,39,"271,219",95,0,1,2,1,0,35,0
0,6,179,45,14,53,"271,219",95,0,1,1,0,0,25,0
